question,option_a,option_b,option_c,option_d,correct_option,subject,difficulty
A geometric sequence starts with 2 and has a common ratio of 3. What is the 4th term?,54,18,24,162,A,Mathematics,Medium
"If f(x) = 2x and g(x) = x + 3, what is f(g(x))?",2x + 3,2x + 6,x + 6,3x + 3,B,Mathematics,Medium
Calculate the volume of a cylinder with radius 2 and height 5.,10pi,20pi,40pi,14pi,B,Mathematics,Medium
What is the probability of drawing an Ace from a standard deck of 52 cards?,1/52,1/13,4/13,1/4,B,Mathematics,Medium
"If 3/x = 4/5, what is x?",15/4,12/5,3.5,4/15,A,Mathematics,Medium
What is the value of log(1000) + log(10)?,3,4,10000,2,B,Mathematics,Medium
"A car depreciates by 10% each year. If it is worth $20000 now, how much will it be worth in 2 years?",$16000,$16200,$18000,$15800,B,Mathematics,Medium
Find the minimum value of the parabola y = x^2 - 4x + 7.,1,2,3,7,C,Mathematics,Medium
Convert pi/3 radians to degrees.,30 degrees,45 degrees,90 degrees,60 degrees,D,Mathematics,Medium
What is the y-intercept of the parabola y = 3x^2 - 2x + 5?,3,-2,5,0,C,Mathematics,Medium
Find the integral of 2x dx.,2,x^2 + C,2x^2 + C,x + C,B,Mathematics,Medium
"A bag contains 3 red, 4 blue, and 5 green marbles. What is the probability of picking a blue marble?",1/3,1/4,4/12,5/12,A,Mathematics,Medium
What is the sum of the angles in a hexagon?,360 degrees,540 degrees,720 degrees,1080 degrees,C,Mathematics,Medium
"If the ratio of boys to girls in a class is 2:3 and there are 30 students, how many girls are there?",12,18,20,15,B,Mathematics,Medium
Solve: e^(ln(5x)) = 20.,5,4,20,1,B,Mathematics,Medium
"What is the equation of a vertical line passing through (4, -2)?",y = -2,y = 4,x = -2,x = 4,D,Mathematics,Medium
Evaluate 2^-3.,1/6,-6,-8,1/8,D,Mathematics,Medium
"If a matrix A has dimensions 2x3 and matrix B has dimensions 3x4, what are the dimensions of AB?",2x4,3x3,4x2,Cannot be multiplied,A,Mathematics,Medium
Find the roots of 2x^2 - 8 = 0.,2,"-2, 2",4,"-4, 4",B,Mathematics,Medium
What is the inverse function of f(x) = 3x - 2?,(x+2)/3,x/3 + 2,3x + 2,1/(3x-2),A,Mathematics,Medium
"In triangle ABC, angle A is 90 degrees. If AB = 5 and AC = 12, what is BC?",17,13,14,15,B,Mathematics,Medium
"A rectangle's length is twice its width. If the perimeter is 36, what is its area?",36,72,18,144,B,Mathematics,Medium
Calculate the sum of the first 50 positive integers.,1275,1250,2500,1225,A,Mathematics,Medium
Determine the asymptote of y = 1/x.,y=1,x=1,x=0 and y=0,There are no asymptotes,C,Mathematics,Medium
Evaluate the limit as x approaches 2 for (x^2 - 4)/(x - 2).,0,4,2,Undefined,B,Mathematics,Medium
"If set A has 5 elements and set B has 3 elements, what is the maximum number of elements in A union B?",3,5,8,15,C,Mathematics,Medium
"What is the 10th term of the arithmetic sequence 5, 8, 11, ...?",35,32,29,27,B,Mathematics,Medium
"If sin(x) = 0.5 and x is acute, what is x?",30 degrees,45 degrees,60 degrees,90 degrees,A,Mathematics,Medium
Solve: sqrt(2x + 1) = 5.,12,24,13,25,A,Mathematics,Medium
A regular octagon has an interior angle of:,120 degrees,135 degrees,140 degrees,150 degrees,B,Mathematics,Medium
What is the volume of a cone with radius 3 and height 4?,12pi,36pi,24pi,16pi,A,Mathematics,Medium
Evaluate 5 P 2 (permutations of 5 items taken 2 at a time).,10,20,60,120,B,Mathematics,Medium
"If the price of a shirt is increased by 20% and then decreased by 20%, the final price compared to the original is:",The same,4% higher,4% lower,1% lower,C,Mathematics,Medium
"If log_a(8) = 3, what is a?",3,2,4,8,B,Mathematics,Medium
A wheel with radius 10 rolls 5 full revolutions. How far does it travel?,50pi,100pi,10pi,50,B,Mathematics,Medium
"Solve the system: y = 2x, x + y = 9.","x=3, y=6","x=6, y=3","x=4.5, y=4.5","x=2, y=7",A,Mathematics,Medium
"Which quadrant contains the point (-3, 4)?",I,II,III,IV,B,Mathematics,Medium
Calculate 8 C 3 (combinations of 8 items taken 3 at a time).,56,336,24,40,A,Mathematics,Medium
"A pipe fills a tank in 4 hours. Another pipe drains it in 6 hours. If both are open, how long to fill the tank?",10 hours,5 hours,12 hours,2 hours,C,Mathematics,Medium
Which equation has no real solutions?,x^2 - 1 = 0,x^2 + 4x + 4 = 0,x^2 - 4x + 5 = 0,x^2 = 0,C,Mathematics,Medium
"Find the distance from the point (0, 0) to the line 3x + 4y = 10.",10,5,2,1,C,Mathematics,Medium
What is the degree of the polynomial 4x^3 - 2x^5 + x?,3,5,4,8,B,Mathematics,Medium
Simplify: log(25) + log(4).,log(29),2,100,log(1000),B,Mathematics,Medium
"Two angles are supplementary. If one is 4x and the other is 5x, what is x?",10,20,30,40,B,Mathematics,Medium
Evaluate: lim (x->infinity) (2x^2 + 3) / (x^2 - 1).,0,1,2,Infinity,C,Mathematics,Medium
What is the length of an arc of a circle with radius 6 subtending an angle of 60 degrees?,pi,2pi,3pi,6pi,B,Mathematics,Medium
"In a class of 40, 25 study French, 20 study German, and 10 study both. How many study neither?",0,5,10,15,B,Mathematics,Medium
What is the period of the function y = tan(x)?,pi/2,pi,2pi,4pi,B,Mathematics,Medium
Solve for x: 5^(2x-1) = 125.,1,2,1.5,2.5,B,Mathematics,Medium
"Find the equation of the circle with center (0,0) and area 25pi.",x^2 + y^2 = 5,x^2 + y^2 = 10,x^2 + y^2 = 25,x^2 + y^2 = 625,C,Mathematics,Medium
"If a function is even, its graph is symmetric with respect to:",The x-axis,The y-axis,The origin,The line y=x,B,Mathematics,Medium
Evaluate the determinant of a 3x3 identity matrix.,0,1,3,9,B,Mathematics,Medium
What is the mode of a normal distribution with mean 50 and standard deviation 5?,5,45,50,55,C,Mathematics,Medium
Find the area of a sector of a circle with radius 4 and angle 90 degrees.,2pi,4pi,8pi,16pi,B,Mathematics,Medium
"If x/y = 3/4 and y/z = 8/9, what is x/z?",2/3,3/8,27/32,11/13,A,Mathematics,Medium
The base of a logarithm is conventionally what number if omitted (e.g. log x)?,e,2,10,1,C,Mathematics,Medium
What is the exact value of tan(pi/4)?,0,1,sqrt(2),Undefined,B,Mathematics,Medium
"If A and B are independent events, P(A)=0.4, P(B)=0.5, what is P(A and B)?",0.9,0.1,0.2,0.0,C,Mathematics,Medium
Which expression is equivalent to (x^3 * x^2)^4?,x^9,x^20,x^24,x^12,B,Mathematics,Medium
"If 3x + 2y = 12 and x intercepts the axis at (a, 0), what is a?",4,6,2,3,A,Mathematics,Medium
What is the diagonal length of a square with area 16?,4,8,4*sqrt(2),16*sqrt(2),C,Mathematics,Medium
The product of three consecutive integers is 120. What is the sum of these integers?,12,15,18,21,B,Mathematics,Medium
Solve the equation: 2*cos(x) = 1 for 0 <= x <= 90 degrees.,30 degrees,45 degrees,60 degrees,90 degrees,C,Mathematics,Medium
"Which of the following describes the set of numbers: ...-3, -2, -1, 0, 1, 2, 3...?",Whole numbers,Natural numbers,Rational numbers,Integers,D,Mathematics,Medium
Calculate the sum of the infinite geometric series: 1 + 1/2 + 1/4 + 1/8 + ...,1.5,2,Infinity,1,B,Mathematics,Medium
"If f(x) = x^3 - x, what is f(-2)?",-6,-10,-8,-2,A,Mathematics,Medium
Determine the number of subsets of a set with 4 elements.,8,12,16,24,C,Mathematics,Medium
"What is the standard deviation of the data set: 5, 5, 5, 5?",5,0,1,25,B,Mathematics,Medium
Convert 0.625 to a fraction in simplest form.,3/4,5/8,6/10,2/5,B,Mathematics,Medium
What is the lateral surface area of a cylinder with radius 3 and height 10?,30pi,60pi,90pi,45pi,B,Mathematics,Medium
Two similar triangles have areas in the ratio 1:4. What is the ratio of their perimeters?,1:4,1:2,1:8,1:16,B,Mathematics,Medium
Evaluate the definite integral from 0 to 1 of 3x^2 dx.,1,2,3,0,A,Mathematics,Medium
"If log(x) + log(2) = 1, what is x?",5,10,8,0.5,A,Mathematics,Medium
A fair die is rolled twice. What is the probability of getting a sum of 7?,1/6,1/12,1/36,1/7,A,Mathematics,Medium
Simplify (sqrt(3) + 1)(sqrt(3) - 1).,2,3,4,8,A,Mathematics,Medium
Which interval is the solution to (x-1)(x-3) < 0?,x < 1 or x > 3,1 < x < 3,x < 3,x > 1,B,Mathematics,Medium
"If the vector A = [3, 4], what is its magnitude?",5,7,12,25,A,Mathematics,Medium
Find the horizontal asymptote of y = (3x-1)/(x+2).,y = 0,y = 3,x = -2,y = -1/2,B,Mathematics,Medium
"If an item costs $80 after a 20% discount, what was the original price?",$100,$96,$120,$64,A,Mathematics,Medium
"A triangle has sides 5, 12, and 13. What is its area?",30,60,65,32.5,A,Mathematics,Medium
What is the geometric mean of 4 and 16?,10,8,64,20,B,Mathematics,Medium
Solve for x: e^x = 10.,x = log(10),x = 10/e,x = ln(10),x = e^10,C,Mathematics,Medium
"If the nth term of a sequence is n^2 - 1, what is the 5th term?",24,25,26,124,A,Mathematics,Medium
What is the derivative of e^(2x)?,e^(2x),2e^(2x),x*e^(2x),0.5e^(2x),B,Mathematics,Medium
The diagonals of a rhombus are 6 and 8. What is the perimeter?,24,28,20,30,C,Mathematics,Medium
"A jar has 10 coins, 6 are heads up. If one is flipped, what is the probability it shows heads?",1/2,3/5,Cannot be determined,6/10,A,Mathematics,Medium
Simplify the complex fraction: (1/2) / (1/4).,1/8,2,1/2,4,B,Mathematics,Medium
"If P(A) = 0.6, P(B) = 0.3, and A and B are mutually exclusive, what is P(A or B)?",0.9,0.18,0.3,0.6,A,Mathematics,Medium
Evaluate 100^(3/2).,10,1000,300,10000,B,Mathematics,Medium
"If 4x - y = 7 and 4x + y = 13, find x.",2.5,5,2,1.5,A,Mathematics,Medium
The sum of interior angles of a regular polygon is 900 degrees. How many sides does it have?,5,6,7,8,C,Mathematics,Medium
What is the intersection of the line y = 2x + 1 and the y-axis?,"(0, 1)","(1, 0)","(0, 2)","(-0.5, 0)",A,Mathematics,Medium
"If log_3(x+1) = 2, find x.",5,7,8,9,C,Mathematics,Medium
"Find the distance from the point (-1, 1) to the origin.",1,2,sqrt(2),sqrt(3),C,Mathematics,Medium
Solve for x: (x-2)/3 + 1 = 4.,7,9,11,10,C,Mathematics,Medium
Which trigonometric function is positive in the second quadrant?,Sine,Cosine,Tangent,Secant,A,Mathematics,Medium
"What is the next term in the Fibonacci-like sequence 1, 3, 4, 7, 11?",15,16,18,20,C,Mathematics,Medium
Find the derivative of ln(x).,1/x,e^x,x,-1/x^2,A,Mathematics,Medium
A sphere has a volume of 36pi. What is its radius? (V = 4/3*pi*r^3),2,3,4,6,B,Mathematics,Medium
"If two dice are rolled, what is the probability that they show the same number?",1/36,1/12,1/6,1/4,C,Mathematics,Medium
Determine the area of a circle whose circumference is 8pi.,16pi,64pi,8pi,4pi,A,Mathematics,Medium
"Evaluate the sum of the matrices [1, 2] and [3, 4].","[3, 8]","[4, 6]","[2, 2]","[4, 8]",B,Mathematics,Medium
Find the area of the region bounded by y = x^2 and y = x.,1/2,1/3,1/6,1/4,C,Mathematics,Hard
What is the coefficient of x^3 in the expansion of (2x + 1)^5?,10,40,80,20,C,Mathematics,Hard
Determine the limit as x->0 of sin(x)/x.,0,1,Infinity,Undefined,B,Mathematics,Hard
Find the minimum value of f(x) = x + 1/x for x > 0.,0,1,2,3,C,Mathematics,Hard
A committee of 3 is to be formed from 5 men and 4 women. What is the probability it consists of all women?,4/84,1/21,4/126,1/84,B,Mathematics,Hard
Solve the system of equations: x^2 + y^2 = 25 and x + y = 7.,"(3,4) and (4,3)","(5,2) and (2,5)","(6,1) and (1,6)","(3, -4) and (-3, 4)",A,Mathematics,Hard
"If f(x) = e^(2x) * x, what is f'(x)?",e^(2x) * (2x + 1),e^(2x) * (x + 1),2e^(2x),2x*e^(2x),A,Mathematics,Hard
"The lengths of the sides of a triangle are 7, 8, and 9. What is the cosine of the largest angle?",1/7,2/7,1/4,1/3,A,Mathematics,Hard
"Calculate the distance from the point (3, 4, 5) to the origin in 3D space.",5*sqrt(2),12,50,5,A,Mathematics,Hard
"If matrices A and B are square and invertible, then (AB)^-1 equals:",A^-1 * B^-1,B^-1 * A^-1,(BA)^-1,A * B,B,Mathematics,Hard
Solve the trigonometric equation: 2*sin^2(x) - sin(x) - 1 = 0 for 0 <= x <= 360.,"90, 210, 330","90, 270","30, 150","90, 180, 270",A,Mathematics,Hard
"Find the absolute maximum of f(x) = -x^2 + 4x on the interval [0, 3].",4,3,0,5,A,Mathematics,Hard
"If log(x^2 * y) = a and log(x/y^2) = b, what is log(x) in terms of a and b?",(2a+b)/5,(a+b)/3,(2a-b)/3,(a+2b)/5,A,Mathematics,Hard
Evaluate lim (x->0) (e^x - 1)/x.,0,1,e,Infinity,B,Mathematics,Hard
A circle has equation x^2 + y^2 - 4x + 6y - 12 = 0. What is its radius?,5,25,12,sqrt(12),A,Mathematics,Hard
"If P(A) = 0.4, P(B) = 0.5, and P(A U B) = 0.7, are A and B independent?","Yes, because P(A)*P(B) = P(A^B)","No, they are mutually exclusive","No, because P(A)*P(B) != P(A^B)",Cannot be determined,A,Mathematics,Hard
Evaluate the integral of 1/(1+x^2) dx.,ln(1+x^2) + C,arctan(x) + C,arcsin(x) + C,-1/(1+x^2)^2 + C,B,Mathematics,Hard
A cone and a cylinder have the same base radius and height. What is the ratio of their volumes?,1:2,1:3,2:3,1:4,B,Mathematics,Hard
"The points (1, 2), (3, y), and (5, 10) are collinear. What is y?",4,5,6,8,C,Mathematics,Hard
"If f(x) = x^3 - 3x^2 + 2x, find the x-coordinates of the inflection points.",x = 0,x = 1,x = 2,x = 3,B,Mathematics,Hard
"Two ships leave a port at the same time. One sails north at 15 km/h, the other east at 20 km/h. How far apart are they after 2 hours?",35 km,50 km,70 km,100 km,B,Mathematics,Hard
What is the radius of convergence of the series sum (x^n / n!)?,1,0,Infinity,e,C,Mathematics,Hard
"A parabola has focus (0, 2) and directrix y = -2. What is its equation?",x^2 = 8y,y^2 = 8x,x^2 = 4y,y = 2x^2,A,Mathematics,Hard
Calculate the determinant of the matrix [2 0 0; 1 3 0; 4 5 6].,0,11,36,24,C,Mathematics,Hard
"If z = 3 + 4i, what is the modulus of z?",5,7,25,1,A,Mathematics,Hard
Evaluate the limit lim (x->infinity) (1 + 1/x)^x.,1,Infinity,e,0,C,Mathematics,Hard
"Find the equation of the normal to the curve y = x^2 at the point (1, 1).",y = -0.5x + 1.5,y = 2x - 1,y = -2x + 3,y = 0.5x + 0.5,A,Mathematics,Hard
A function is defined as f(x) = integral from 0 to x of t^2 dt. What is f'(2)?,4,8/3,2,8,A,Mathematics,Hard
The sum of the infinite series 1/2 + 1/4 + 1/8 + ... is 1. What is the sum of 1/2 - 1/4 + 1/8 - 1/16 ...?,1/3,2/3,1,0,A,Mathematics,Hard
"Find the dot product of vectors [2, 3] and [-1, 4].",10,14,5,2,A,Mathematics,Hard
"If sin(x) + cos(x) = 1.2, what is sin(2x)?",0.44,0.24,1.44,0.5,A,Mathematics,Hard
A particle moves with position s(t) = t^3 - 6t^2 + 9t. When is the particle at rest?,"t = 1, 3","t = 0, 3",t = 2,"t = 1, 2",A,Mathematics,Hard
What is the eccentricity of the ellipse (x^2)/25 + (y^2)/16 = 1?,3/5,4/5,9/25,16/25,A,Mathematics,Hard
Which of these sets is uncountably infinite?,Integers,Rational numbers,Real numbers,Natural numbers,C,Mathematics,Hard
What is the solution to the differential equation dy/dx = y with y(0)=1?,y = x,y = e^x,y = ln(x),y = x^2,B,Mathematics,Hard
A fair coin is tossed 10 times. What is the probability of exactly 5 heads?,252/1024,1/2,120/1024,5/10,A,Mathematics,Hard
"In Z_7 (integers modulo 7), what is the multiplicative inverse of 3?",5,4,2,6,A,Mathematics,Hard
"If x^y = y^x and x != y, a known positive integer solution for (x, y) is:","(2, 4)","(1, 2)","(3, 6)","(2, 3)",A,Mathematics,Hard
What is the general solution to y'' + y = 0?,y = c1*e^x + c2*e^-x,y = c1*sin(x) + c2*cos(x),y = c1*x + c2,y = c1*e^(ix),B,Mathematics,Hard
Find the volume of the solid generated by revolving y = sqrt(x) from x=0 to 1 around the x-axis.,pi/2,pi,pi/3,2pi/3,A,Mathematics,Hard
The number of ways to arrange 5 people in a circle is:,120,24,60,20,B,Mathematics,Hard
What is the value of the continued fraction 1 + 1/(1 + 1/(1 + ...))?,Golden Ratio,pi,e,sqrt(2),A,Mathematics,Hard
Solve x + 3 = 11.,9,8,11,7,B,Mathematics,Easy
Solve x + 4 = 13.,9,10,8,13,A,Mathematics,Easy
Solve x + 5 = 12.,7,12,6,8,A,Mathematics,Easy
Solve x + 6 = 17.,10,17,11,12,C,Mathematics,Easy
Solve x + 7 = 19.,13,19,11,12,D,Mathematics,Easy
Solve x + 8 = 14.,14,6,7,5,B,Mathematics,Easy
Solve x + 9 = 19.,9,19,10,11,C,Mathematics,Easy
Solve x + 10 = 15.,4,5,6,15,B,Mathematics,Easy
Solve x + 11 = 24.,14,13,12,24,B,Mathematics,Easy
Solve x + 12 = 16.,3,5,4,16,C,Mathematics,Easy
Solve x + 13 = 22.,8,10,22,9,D,Mathematics,Easy
Solve x + 14 = 22.,9,8,22,7,B,Mathematics,Easy
Solve x + 15 = 21.,21,5,7,6,D,Mathematics,Easy
